silo_ID;destination_cod;destination_mun;destination_state;destination_biome;destination_lat;destination_long;destination_cnpj;destination_company;destination_dt;company_group;asset_risk
534;BR-4120606;PRUDENTOPOLIS;PR;ATLANTIC FOREST;-25.197;-50.972;77500000000000.0;COOPERATIVA AGRICOLA MISTA PRUDENTOPOLIS;b1.4;other;Negligible
535;BR-4307005;ERECHIM;RS;ATLANTIC FOREST;-27.658;-52.288;89400000000000.0;COOPERATIVA TRITICOLA ERECHIM  COTREL;b1.4;other;Negligible
536;BR-4307005;ERECHIM;RS;ATLANTIC FOREST;-27.64333759;-52.25780747;97200000000000.0;C VACCARO E CIA LTDA;b1.4;other;Negligible
537;BR-4321634;TRES ARROIOS;RS;ATLANTIC FOREST;-27.539;-52.206;83300000000000.0;COOPERATIVA AGROINDUSTRIAL ALFA;b1.4;other;Negligible
538;BR-4115309;MARIOPOLIS;PR;ATLANTIC FOREST;-26.302;-52.627;18100000000000.0;FORT GRANO COMERCIO DE CEREAIS LTDA;b1.4;other;Negligible
539;BR-4216107;SAO DOMINGOS;SC;ATLANTIC FOREST;-26.567;-52.524;75900000000000.0;COAMO AGROINDUSTRIAL COOPERATIVA;b1.1, b1.2, b1.4, b2.2;COAMO;Negligible
540;BR-4114401;MANGUEIRINHA;PR;ATLANTIC FOREST;-26.152;-52.193;75900000000000.0;COAMO AGROINDUSTRIAL COOPERATIVA;b1.1, b1.2, b1.4, b2.2;COAMO;Negligible
541;BR-4117602;PALMAS;PR;ATLANTIC FOREST;-26.463;-52.016;5530000000000.0;COOP AGROPECUARIA TRADICAO;b1.4;other;Negligible
542;BR-4115804;MEDIANEIRA;PR;ATLANTIC FOREST;-25.306;-54.092;77900000000000.0;I RIEDI  CIA LTDA;b1.2, b1.4;other;Negligible
543;BR-4124707;SAO JERONIMO DA SERRA;PR;ATLANTIC FOREST;-23.705;-50.741;78900000000000.0;VILELA VILELA  CIA LTDA;b1.4;other;Negligible
544;BR-4100459;ALTAMIRA DO PARANA;PR;ATLANTIC FOREST;-24.792;-52.723;75900000000000.0;COAMO AGROINDUSTRIAL COOPERATIVA;b1.1, b1.2, b1.4, b2.2;COAMO;Negligible
545;BR-4203808;CANOINHAS;SC;ATLANTIC FOREST;-26.174;-50.404;83300000000000.0;COOPERATIVA AGROINDUSTRIAL ALFA;b1.4;other;Negligible
546;BR-4203808;CANOINHAS;SC;ATLANTIC FOREST;-26.191;-50.373;83600000000000.0;COOPDE PROD E CONS CONCORDIA;b1.4;other;Negligible
547;BR-4210308;MAJOR VIEIRA;SC;ATLANTIC FOREST;-26.366;-50.322;4830000000000.0;BIG SAFRA SA;b1.2;other;Negligible
548;BR-4218301;TRES BARRAS;SC;ATLANTIC FOREST;-26.173;-50.269;7620000000000.0;GINAMBO TRANSPORTADORA DE CARGAS LTDA;b1.4;other;Negligible
549;BR-4212205;PAPANDUVA;SC;ATLANTIC FOREST;-26.392;-50.173;21600000000000.0;TERRA FORTE COMERCIO E TRANSPORTES DE CEREAIS LTDA;b1.4;other;Negligible
550;BR-4208104;ITAIOPOLIS;SC;ATLANTIC FOREST;-26.339;-49.904;5430000000000.0;AGROLEAO CEREAIS LTDA;b1.4;other;Negligible
551;BR-4203303;CAMPO ALEGRE;SC;ATLANTIC FOREST;-26.141;-49.294;18900000000000.0;COMERCIO DE CEREAIS BIAOBOCK LTDA ME;b1.4;other;Negligible
552;BR-4119400;PIRAI DO SUL;PR;ATLANTIC FOREST;-24.547;-49.923;76100000000000.0;CASTROLANDA  COOP AGROINDUSTRIAL LTDA;b1.4;other;Negligible
553;BR-4111407;IVAI;PR;ATLANTIC FOREST;-25.009;-50.854;80200000000000.0;COOPERATIVA AGRICOLA MISTA DE PONTA GROSSA;b1.4;other;Negligible
554;BR-4127502;TIBAGI;PR;ATLANTIC FOREST;-24.521;-50.44;79000000000000.0;BELAGRICOLA COMERCIO E REPRESENTACOES DE PRODUTOS AGRICOLAS SA;b1.2;other;Negligible
555;BR-4116059;MISSAL;PR;ATLANTIC FOREST;-25.088;-54.256;81200000000000.0;A B COMERCIO DE INSUMOS LTDA;b1.2, b1.4;other;Negligible
556;BR-4115804;MEDIANEIRA;PR;ATLANTIC FOREST;-25.3;-54.077;26200000000000.0;SHB COMERCIO E INDUSTRIA DE ALIMENTOS SA;b1.4;other;Negligible
557;BR-4126355;SERRANOPOLIS DO IGUACU;PR;ATLANTIC FOREST;-25.402;-54.046;81200000000000.0;A B COMERCIO DE INSUMOS LTDA;b1.2, b1.4;other;Negligible
558;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.175;-52.594;3093336015.0;ALFEU CYRINO DO CARMO;b1.5;other;Negligible
559;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.154;-52.539;0.0;SAFRA BOA COMERCIO DE CEREAIS E INSUMOS AGRICOLAS LTDA;b1.5;other;Negligible
560;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.154;-52.539;0.0;JUSTIMIANO AUGUSTO DE ARAUJO TREIN;b1.5;other;Negligible
561;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.14;-52.535;3093310059.0;VILMAR CIRINO DO CARMO;b1.5;other;Negligible
562;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.334;-52.486;3067645049.0;PLINIO FORMIGHIERI;b1.5;other;Negligible
563;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.317;-52.476;95100000000000.0;TONIAL CEREAIS LTDA;b1.4, b1.5;other;Negligible
564;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.233;-52.447;0.0;SAFRA BOA COMERCIO DE CEREAIS E INSUMOS AGRICOLAS LTDA;b1.5;other;Negligible
565;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.233;-52.447;0.0;JUSTIMIANO AUGUSTO DE ARAUJO TREIN;b1.5;other;Negligible
566;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.24;-52.401;7320000000000.0;BSBIOS INDUSTRIA E COMERCIO DE BIODIESEL SUL BRASIL SA;b1.5;other;Negligible
567;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.224;-52.382;9460000000000.0;BIOTRIGO GENETICA LTDA;b1.4, b1.5;other;Negligible
568;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.232;-52.304;0.0;SAFRA BOA COMERCIO DE CEREAIS E INSUMOS AGRICOLAS LTDA;b1.5;other;Negligible
569;BR-4314100;PASSO FUNDO;RS;PAMPA;-28.232;-52.304;0.0;JUSTIMIANO AUGUSTO DE ARAUJO TREIN;b1.5;other;Negligible
570;BR-4305801;CONSTANTINA;RS;ATLANTIC FOREST;-27.732;-52.995;94500000000000.0;COOP DE PRODUCAO AGROPECUARIA CONSTANTINA LTDA;b1.4;other;Negligible
571;BR-4303806;CAMPINAS DO SUL;RS;PAMPA;-27.73;-52.631;91800000000000.0;OLFAR SA  ALIMENTO E ENERGIA;b1.4;other;Negligible
572;BR-4306973;EREBANGO;RS;PAMPA;-27.84;-52.3;91800000000000.0;OLFAR SA  ALIMENTO E ENERGIA;b1.4;other;Negligible
573;BR-4307559;ESTACAO;RS;PAMPA;-27.905;-52.247;91800000000000.0;OLFAR SA  ALIMENTO E ENERGIA;b1.4;other;Negligible
574;BR-4320503;SERTAO;RS;ATLANTIC FOREST;-27.991;-52.23;91500000000000.0;COTRIJAL COOPERATIVA AGROPECUARIA E INDUSTRIAL;b1.4;other;Negligible
575;BR-4308904;GETULIO VARGAS;RS;ATLANTIC FOREST;-27.75;-52.167;91800000000000.0;OLFAR SA  ALIMENTO E ENERGIA;b1.4;other;Negligible
576;BR-4312203;MAXIMILIANO DE ALMEIDA;RS;ATLANTIC FOREST;-27.60388058;-51.815452;89400000000000.0;COOPERATIVA TRITICOLA ERECHIM  COTREL;b1.4;other;Negligible
577;BR-4301800;BARRACAO;RS;ATLANTIC FOREST;-27.72328612;-51.43866721;96700000000000.0;COOPERATIVA AGRICOLA MISTA OURENSE LTDA;b1.4;other;Negligible
578;BR-4207684;IPUACU;SC;ATLANTIC FOREST;-26.689;-52.544;3100000000000.0;COOPERATIVA AGRICOLA RURAL CATARINENSE;b1.4;other;Negligible
579;BR-4219507;XANXERE;SC;ATLANTIC FOREST;-26.872;-52.417;83300000000000.0;COOPERATIVA AGROINDUSTRIAL ALFA;b1.4;other;Negligible
580;BR-4128500;WENCESLAU BRAZ;PR;ATLANTIC FOREST;-23.882;-49.826;78300000000000.0;CAPAL COOPERATIVA AGROINDUSTRIAL;b1.4;other;Negligible
581;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.595;-53.679;88900000000000.0;COOPERATIVA CENTRAL GAUCHA LTDA  CCGL;b1.5;other;Negligible
582;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.602;-53.675;0.0;LOURENCO FURIAN JUNIOR;b1.5;other;Negligible
583;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.537;-53.654;8720000000000.0;JUAREZ DURIGON LEMES;b1.4, b1.5;other;Negligible
584;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.923;-53.65;0.0;LOURENCO FURIAN JUNIOR;b1.5;other;Negligible
585;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.689;-53.62;0.0;LOURENCO FURIAN JUNIOR;b1.5;other;Negligible
586;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.818;-53.617;0.0;LOURENCO FURIAN JUNIOR;b1.5;other;Negligible
